"filename", "language", "Markdown", "Dart", "CSS", "JavaScript", "C++", "JSON", "HTML", "YAML", "Properties", "Groovy", "XML", "Swift", "comment", "blank", "total"
"e:\FlutterProjects\TrainProject\todo2\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\FlutterProjects\TrainProject\todo2\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"e:\FlutterProjects\TrainProject\todo2\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 13, 69
"e:\FlutterProjects\TrainProject\todo2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 7, 1, 44
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 9, 0, 20
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 0, 18
"e:\FlutterProjects\TrainProject\todo2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 9, 0, 20
"e:\FlutterProjects\TrainProject\todo2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"e:\FlutterProjects\TrainProject\todo2\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"e:\FlutterProjects\TrainProject\todo2\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\FlutterProjects\TrainProject\todo2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"e:\FlutterProjects\TrainProject\todo2\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"e:\FlutterProjects\TrainProject\todo2\flutter_native_splash.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 49, 11, 63
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 0, 44
"e:\FlutterProjects\TrainProject\todo2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
